"rep_id","calib_seed","c","source_row","sample_row_id","cruise","in_calib_10","in_calib_25","in_calib_50","selection_rank_within_class","x_temperature","x_salinity"
9,2026081309,1,2847,3,"ECOHAB_3",1,1,1,1,13.2,32.2
9,2026081309,1,1095,1,"ECOHAB_1",0,1,1,2,12.53,31.59
9,2026081309,1,5640,5,"ECOHAB_5",0,0,1,3,13.61,32.29
9,2026081309,2,2915,18,"ECOHAB_3",1,1,1,1,15.75,32.05
9,2026081309,2,2078,9,"ECOHAB_2",1,1,1,2,12.4,32.43
9,2026081309,2,1413,8,"ECOHAB_2",0,1,1,3,11,32.96
9,2026081309,2,2319,12,"ECOHAB_2",0,1,1,4,14.7,31.98
9,2026081309,2,2305,11,"ECOHAB_2",0,1,1,5,15,31.94
9,2026081309,2,2245,10,"ECOHAB_2",0,0,1,6,15.6,31.97
9,2026081309,2,2963,19,"ECOHAB_3",0,0,1,7,14.78,32.08
9,2026081309,2,273,7,"ECOHAB_1",0,0,1,8,12.9,31.17
9,2026081309,2,2329,13,"ECOHAB_2",0,0,1,9,14.3,32.01
9,2026081309,2,2762,15,"ECOHAB_3",0,0,1,10,13.34,32.27
9,2026081309,3,2672,33,"ECOHAB_3",1,1,1,1,13.29,32.06
9,2026081309,3,700,27,"ECOHAB_1",1,1,1,2,10.98,31.56
9,2026081309,3,3367,35,"ECOHAB_3",0,1,1,3,12.57,32.3
9,2026081309,3,2586,32,"ECOHAB_3",0,1,1,4,12.81,32.33
9,2026081309,3,6301,37,"ECOHAB_5",0,0,1,5,13.75,31.95
9,2026081309,3,7053,39,"ECOHAB_6",0,0,1,6,13.36,32.24
9,2026081309,3,3598,36,"ECOHAB_3",0,0,1,7,12.89,32.29
9,2026081309,4,7465,62,"ECOHAB_6",1,1,1,1,12.99,32.2
9,2026081309,4,6599,58,"ECOHAB_6",1,1,1,2,10.14,32.39
9,2026081309,4,2286,46,"ECOHAB_2",0,1,1,3,13.5,31.8
9,2026081309,4,1888,44,"ECOHAB_2",0,1,1,4,13.8,31.52
9,2026081309,4,2386,47,"ECOHAB_2",0,1,1,5,13.1,31.7
9,2026081309,4,1532,42,"ECOHAB_2",0,1,1,6,13.2,32.29
9,2026081309,4,6597,57,"ECOHAB_6",0,0,1,7,11.85,32.2
9,2026081309,4,6649,59,"ECOHAB_6",0,0,1,8,12.29,32.18
9,2026081309,4,483,40,"ECOHAB_1",0,0,1,9,10.56,31.43
9,2026081309,4,3441,50,"ECOHAB_3",0,0,1,10,11.36,32.49
9,2026081309,4,5786,54,"ECOHAB_5",0,0,1,11,12.94,32.49
9,2026081309,4,5787,55,"ECOHAB_5",0,0,1,12,12.35,32.6
9,2026081309,5,6075,75,"ECOHAB_5",1,1,1,1,10.64,32.67
9,2026081309,5,6008,74,"ECOHAB_5",0,1,1,2,12,32.67
9,2026081309,5,1257,65,"ECOHAB_1",0,1,1,3,10.3,31.82
9,2026081309,5,6122,76,"ECOHAB_5",0,0,1,4,11.01,32.39
9,2026081309,5,6758,77,"ECOHAB_6",0,0,1,5,11.79,32.02
9,2026081309,5,5875,73,"ECOHAB_5",0,0,1,6,10.28,32.46
9,2026081309,5,639,64,"ECOHAB_1",0,0,1,7,10.28,31.69
9,2026081309,6,7017,98,"ECOHAB_6",1,1,1,1,10.55,32.4
9,2026081309,6,6211,93,"ECOHAB_5",1,1,1,2,11.1,31.61
9,2026081309,6,297,79,"ECOHAB_1",0,1,1,3,9.47,31.91
9,2026081309,6,6423,96,"ECOHAB_6",0,1,1,4,10.63,33.39
9,2026081309,6,2540,88,"ECOHAB_2",0,1,1,5,11.2,31.29
9,2026081309,6,1247,83,"ECOHAB_1",0,0,1,6,9.46,31.81
9,2026081309,6,7040,99,"ECOHAB_6",0,0,1,7,10.91,32.56
9,2026081309,6,322,80,"ECOHAB_1",0,0,1,8,10.27,31.61
9,2026081309,6,2420,87,"ECOHAB_2",0,0,1,9,10.7,32.36
9,2026081309,6,1847,85,"ECOHAB_2",0,0,1,10,9.44,32.53
9,2026081309,6,1037,82,"ECOHAB_1",0,0,1,11,10.14,32.07
