"rep_id","calib_seed","c","source_row","sample_row_id","cruise","in_calib_10","in_calib_25","in_calib_50","selection_rank_within_class","x_temperature","x_salinity"
4,2026081304,1,5771,6,"ECOHAB_5",1,1,1,1,13.21,32.69
4,2026081304,1,5640,5,"ECOHAB_5",0,1,1,2,13.61,32.29
4,2026081304,1,2847,3,"ECOHAB_3",0,0,1,3,13.2,32.2
4,2026081304,2,2777,16,"ECOHAB_3",1,1,1,1,15.46,32.08
4,2026081304,2,3453,22,"ECOHAB_3",1,1,1,2,13.08,32.35
4,2026081304,2,2319,12,"ECOHAB_2",0,1,1,3,14.7,31.98
4,2026081304,2,3091,21,"ECOHAB_3",0,1,1,4,15.33,32.11
4,2026081304,2,2963,19,"ECOHAB_3",0,1,1,5,14.78,32.08
4,2026081304,2,6471,24,"ECOHAB_6",0,0,1,6,13.68,32.52
4,2026081304,2,2974,20,"ECOHAB_3",0,0,1,7,14.61,32.05
4,2026081304,2,7458,26,"ECOHAB_6",0,0,1,8,12.41,32.08
4,2026081304,2,2305,11,"ECOHAB_2",0,0,1,9,15,31.94
4,2026081304,2,1413,8,"ECOHAB_2",0,0,1,10,11,32.96
4,2026081304,3,6436,38,"ECOHAB_6",1,1,1,1,11.33,33.1
4,2026081304,3,1815,30,"ECOHAB_2",1,1,1,2,13.5,32.04
4,2026081304,3,1608,29,"ECOHAB_2",0,1,1,3,13.3,31.98
4,2026081304,3,3598,36,"ECOHAB_3",0,1,1,4,12.89,32.29
4,2026081304,3,1423,28,"ECOHAB_2",0,0,1,5,12.2,32.51
4,2026081304,3,2486,31,"ECOHAB_2",0,0,1,6,13.2,31.98
4,2026081304,3,700,27,"ECOHAB_1",0,0,1,7,10.98,31.56
4,2026081304,4,7168,60,"ECOHAB_6",1,1,1,1,12.64,32.23
4,2026081304,4,2487,48,"ECOHAB_2",1,1,1,2,13,32.01
4,2026081304,4,5787,55,"ECOHAB_5",0,1,1,3,12.35,32.6
4,2026081304,4,607,41,"ECOHAB_1",0,1,1,4,9.58,32.15
4,2026081304,4,3295,49,"ECOHAB_3",0,1,1,5,12.27,32.31
4,2026081304,4,1888,44,"ECOHAB_2",0,1,1,6,13.8,31.52
4,2026081304,4,4592,52,"ECOHAB_4",0,0,1,7,11.25,32.12
4,2026081304,4,2286,46,"ECOHAB_2",0,0,1,8,13.5,31.8
4,2026081304,4,5773,53,"ECOHAB_5",0,0,1,9,10.74,32.78
4,2026081304,4,2386,47,"ECOHAB_2",0,0,1,10,13.1,31.7
4,2026081304,4,7242,61,"ECOHAB_6",0,0,1,11,11.5,32.24
4,2026081304,4,6599,58,"ECOHAB_6",0,0,1,12,10.14,32.39
4,2026081304,5,5875,73,"ECOHAB_5",1,1,1,1,10.28,32.46
4,2026081304,5,2000,67,"ECOHAB_2",0,1,1,2,12.1,32.13
4,2026081304,5,1697,66,"ECOHAB_2",0,1,1,3,11.9,31.69
4,2026081304,5,6008,74,"ECOHAB_5",0,0,1,4,12,32.67
4,2026081304,5,6896,78,"ECOHAB_6",0,0,1,5,11.57,32.11
4,2026081304,5,6758,77,"ECOHAB_6",0,0,1,6,11.79,32.02
4,2026081304,5,4673,72,"ECOHAB_4",0,0,1,7,12.79,32.08
4,2026081304,6,2420,87,"ECOHAB_2",1,1,1,1,10.7,32.36
4,2026081304,6,5967,91,"ECOHAB_5",1,1,1,2,10.65,32
4,2026081304,6,1847,85,"ECOHAB_2",0,1,1,3,9.44,32.53
4,2026081304,6,6211,93,"ECOHAB_5",0,1,1,4,11.1,31.61
4,2026081304,6,6797,97,"ECOHAB_6",0,1,1,5,10.48,31.96
4,2026081304,6,5646,90,"ECOHAB_5",0,0,1,6,11.17,31.53
4,2026081304,6,1663,84,"ECOHAB_2",0,0,1,7,9.75,32.52
4,2026081304,6,6423,96,"ECOHAB_6",0,0,1,8,10.63,33.39
4,2026081304,6,322,80,"ECOHAB_1",0,0,1,9,10.27,31.61
4,2026081304,6,7017,98,"ECOHAB_6",0,0,1,10,10.55,32.4
4,2026081304,6,2548,89,"ECOHAB_2",0,0,1,11,10.7,31.38
