"rep_id","calib_seed","c","source_row","sample_row_id","cruise","in_calib_10","in_calib_25","in_calib_50","selection_rank_within_class","x_temperature","x_salinity"
3,2026081303,1,4615,4,"ECOHAB_4",1,1,1,1,15.01,31.49
3,2026081303,1,1095,1,"ECOHAB_1",0,1,1,2,12.53,31.59
3,2026081303,1,5640,5,"ECOHAB_5",0,0,1,3,13.61,32.29
3,2026081303,2,3091,21,"ECOHAB_3",1,1,1,1,15.33,32.11
3,2026081303,2,3453,22,"ECOHAB_3",1,1,1,2,13.08,32.35
3,2026081303,2,2974,20,"ECOHAB_3",0,1,1,3,14.61,32.05
3,2026081303,2,2305,11,"ECOHAB_2",0,1,1,4,15,31.94
3,2026081303,2,2818,17,"ECOHAB_3",0,1,1,5,15.96,32.05
3,2026081303,2,2777,16,"ECOHAB_3",0,0,1,6,15.46,32.08
3,2026081303,2,7458,26,"ECOHAB_6",0,0,1,7,12.41,32.08
3,2026081303,2,2078,9,"ECOHAB_2",0,0,1,8,12.4,32.43
3,2026081303,2,2963,19,"ECOHAB_3",0,0,1,9,14.78,32.08
3,2026081303,2,2734,14,"ECOHAB_3",0,0,1,10,16.83,32.05
3,2026081303,3,3598,36,"ECOHAB_3",1,1,1,1,12.89,32.29
3,2026081303,3,2586,32,"ECOHAB_3",1,1,1,2,12.81,32.33
3,2026081303,3,2672,33,"ECOHAB_3",0,1,1,3,13.29,32.06
3,2026081303,3,6436,38,"ECOHAB_6",0,1,1,4,11.33,33.1
3,2026081303,3,7053,39,"ECOHAB_6",0,0,1,5,13.36,32.24
3,2026081303,3,3260,34,"ECOHAB_3",0,0,1,6,12.95,32.17
3,2026081303,3,3367,35,"ECOHAB_3",0,0,1,7,12.57,32.3
3,2026081303,4,4591,51,"ECOHAB_4",1,1,1,1,12.76,31.94
3,2026081303,4,6649,59,"ECOHAB_6",1,1,1,2,12.29,32.18
3,2026081303,4,6599,58,"ECOHAB_6",0,1,1,3,10.14,32.39
3,2026081303,4,3295,49,"ECOHAB_3",0,1,1,4,12.27,32.31
3,2026081303,4,5773,53,"ECOHAB_5",0,1,1,5,10.74,32.78
3,2026081303,4,7168,60,"ECOHAB_6",0,1,1,6,12.64,32.23
3,2026081303,4,607,41,"ECOHAB_1",0,0,1,7,9.58,32.15
3,2026081303,4,2487,48,"ECOHAB_2",0,0,1,8,13,32.01
3,2026081303,4,5883,56,"ECOHAB_5",0,0,1,9,11.66,32.72
3,2026081303,4,5786,54,"ECOHAB_5",0,0,1,10,12.94,32.49
3,2026081303,4,1888,44,"ECOHAB_2",0,0,1,11,13.8,31.52
3,2026081303,4,2386,47,"ECOHAB_2",0,0,1,12,13.1,31.7
3,2026081303,5,2275,68,"ECOHAB_2",1,1,1,1,11.5,32.4
3,2026081303,5,5875,73,"ECOHAB_5",0,1,1,2,10.28,32.46
3,2026081303,5,4673,72,"ECOHAB_4",0,1,1,3,12.79,32.08
3,2026081303,5,6075,75,"ECOHAB_5",0,0,1,4,10.64,32.67
3,2026081303,5,1257,65,"ECOHAB_1",0,0,1,5,10.3,31.82
3,2026081303,5,6758,77,"ECOHAB_6",0,0,1,6,11.79,32.02
3,2026081303,5,6896,78,"ECOHAB_6",0,0,1,7,11.57,32.11
3,2026081303,6,2540,88,"ECOHAB_2",1,1,1,1,11.2,31.29
3,2026081303,6,7017,98,"ECOHAB_6",1,1,1,2,10.55,32.4
3,2026081303,6,6797,97,"ECOHAB_6",0,1,1,3,10.48,31.96
3,2026081303,6,6325,94,"ECOHAB_6",0,1,1,4,12.97,30.21
3,2026081303,6,2548,89,"ECOHAB_2",0,1,1,5,10.7,31.38
3,2026081303,6,5646,90,"ECOHAB_5",0,0,1,6,11.17,31.53
3,2026081303,6,6337,95,"ECOHAB_6",0,0,1,7,12.5,30.6
3,2026081303,6,7041,100,"ECOHAB_6",0,0,1,8,10.79,32.62
3,2026081303,6,1037,82,"ECOHAB_1",0,0,1,9,10.14,32.07
3,2026081303,6,7040,99,"ECOHAB_6",0,0,1,10,10.91,32.56
3,2026081303,6,2420,87,"ECOHAB_2",0,0,1,11,10.7,32.36
