"rep","scenario","n_calib","method","target","coordinate","n_units","n_missing","Bias","RMSE","MAE","Coverage95","Width95"
1,"primary",6,"EIV-GP","training_missing_U","u1",114,114,0.0622067466099632,0.624107762755559,0.484993435814191,0.394736842105263,0.64110919201832
1,"primary",6,"EIV-GP","training_missing_U","u2",114,114,-0.0160545532460534,0.65633068101844,0.500259406265604,0.456140350877193,0.750274544713455
1,"primary",6,"EIV-GP","prospective_U_given_C","u1",8,NA,-0.143370755443246,0.481071179734618,0.396826501266623,0.625,1.27835730534799
1,"primary",6,"EIV-GP","prospective_U_given_C","u2",8,NA,-0.0658674514591858,0.454763509633025,0.370018968625578,0.75,1.58698707259969
1,"primary",6,"Ordinal model (no Y)","training_missing_U","u1",114,114,0.0980425834471641,0.725833312927066,0.566906634391361,0.956140350877193,3.17209601906939
1,"primary",6,"Ordinal model (no Y)","training_missing_U","u2",114,114,-0.0936991255741296,0.731745188298538,0.559306595057011,0.956140350877193,3.29173601190181
1,"primary",6,"Ordinal model (no Y)","prospective_U_given_C","u1",8,NA,-0.25611380037985,0.578810644708005,0.517838182991502,1,2.67818675983118
1,"primary",6,"Ordinal model (no Y)","prospective_U_given_C","u2",8,NA,0.0487693913638846,0.596590921392461,0.529409743591111,1,2.63501623498833
