"method","n_calib","start","selected","n_starts","optimizer_seed","maxit","initial_log_sigma2","initial_log_rho","initial_log_theta1","initial_log_theta2","initial_log_theta3","initial_log_theta4","final_log_sigma2","final_log_rho","final_log_theta1","final_log_theta2","final_log_theta3","final_log_theta4","convergence","objective","function_evaluations","gradient_evaluations","message","rep","scenario"
"PI-GP",6,1,FALSE,3,1016106,200,-2.99573227355399,1.09861228866811,-0.693147180559945,-0.693147180559945,-0.693147180559945,-0.693147180559945,-1.67592413020045,0.976136340053604,-0.0996700217011264,-3.50738059495361,-0.837016513197876,-1.68671643407083,0,106.032749377141,28,28,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1,"primary"
"PI-GP",6,2,FALSE,3,1016106,200,-6.97069424106006,2.9016624435473,1.30914170470704,-6.79159927414617,2.1174208079915,-5.51239005257413,-1.67594544474376,0.975957651665416,-0.0996417797567466,-3.50652504841061,-0.836816863588828,-1.68650631347658,0,106.032749598509,60,60,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1,"primary"
"PI-GP",6,3,TRUE,3,1016106,200,-0.122102250010659,-1.25483659824123,2.95767837505695,2.22070282590899,-2.62400727531361,1.00348761435899,-1.41258225797555,0.997146342248786,-3.57262844269071,-3.46034705666358,-1.25566404095015,-2.45090706435943,0,103.303044070741,36,36,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1,"primary"
"CC-GP",6,1,TRUE,3,1017106,200,-2.99573227355399,1.09861228866811,-0.693147180559945,-0.693147180559945,-0.693147180559945,-0.693147180559945,-8.05879531715938,4.60517018598809,-9.21034037197618,-5.1230468399511,-3.25100999677818,-5.03410974452066,0,3.51476703190578,56,56,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1,"primary"
"CC-GP",6,2,FALSE,3,1017106,200,0.0204774108588831,3.6160004092824,-8.35137540932454,1.14040200700557,3.88602034202384,1.08941813885568,-8.05878321992848,4.60517018598809,-9.21034037197618,-5.12306273340427,-3.25104396074891,-5.03406851655038,0,3.51476703355945,95,95,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1,"primary"
"CC-GP",6,3,FALSE,3,1017106,200,-3.51100122877334,-0.547933132696174,2.15317302892881,-1.80164727071716,0.21295248378308,-6.87809056789222,-8.05892330450181,4.60517018598809,-9.21034037197618,-5.12292562226707,-3.25093100549127,-5.03397477298213,0,3.51476703620149,79,79,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1,"primary"
