"method","status","optimization_status","optimization_attempts","message","warnings","elapsed_seconds","implementation","fitted_noise_variance","rep","scenario"
"UC-GP","success","converged","","","No termination criterion specified, using default(relative x-tolerance = 1e-04)",1.525,"kergp 0.5.8::q1Symm; best of 1 converged fits among 2 likelihood starts",0.195209640582254,1,"primary"
"LVGP","success","package_selected_nonconverged","retry=1,seed=1010102,limits=30/8,elapsed=39.12,status=nonconverged,flag=1,objective=-499.862","","LVGP returned a finite author-package-selected solution after the prespecified attempt sequence, but optim reported code 1. The package-selected fit is retained and flagged; no internal replacement or hand-edited latent embedding is used.",39.154,"LVGP 2.1.6::LVGP_fit(noise=TRUE, dim_z=2, n_opt=2); author-package-selected finite fit after a prespecified sequence of default and extended-limit attempts; nonzero optim codes are retained only after rescue exhaustion and are explicitly flagged",0.101558022356553,1,"primary"
"EzGP","success","converged","","","",172.466,"EzGP 0.1.0::EzGP_fit; nugget selected by 3-fold training-only NLPD CV over prespecified variance fractions",0.0770778689238957,1,"primary"
