"rep","scenario","evaluation_stratum","n_test_eval","n_calib","method","RMSE","MAE","Coverage95","Width95","CRPS","NLPD","NLPD_reason","IntervalScore95"
1,"primary","overall",60,NA,"Oracle",0.382027627214709,0.293350126993551,0.783333333333333,1.04321647736216,0.209071984790037,0.501446936969944,"",2.16332730292175
1,"primary","common",58,NA,"Oracle",0.388431880960387,0.301755926901722,0.775862068965517,1.04534789564264,0.213754521391023,0.530526442191146,"",2.20408323242843
1,"primary","rare",2,NA,"Oracle",0.0534114258630217,0.0495819296565884,1,0.981405347228037,0.0732784233614223,-0.341858714444905,"",0.981405347228037
1,"primary","overall",60,NA,"UC-GP",0.650471414377876,0.544670282603295,0.933333333333333,2.39798144608993,0.379938387661677,1.02540464950521,"",3.26381936839558
1,"primary","common",58,NA,"UC-GP",0.657936335777592,0.550743903037667,0.931034482758621,2.38616868306708,0.383248890706373,1.03863065544445,"",3.28186308545223
1,"primary","rare",2,NA,"UC-GP",0.373985817278875,0.368535290006499,1,2.74055157375255,0.28393379936548,0.641850477267091,"",2.74055157375255
1,"primary","overall",60,NA,"LVGP",0.38711553868348,0.30550198465769,0.883333333333333,1.17566077066484,0.220912505277135,0.460355036573859,"",2.15257417608491
1,"primary","common",58,NA,"LVGP",0.392611538915048,0.312094161737708,0.879310344827586,1.16800704152831,0.224386930834272,0.47718438923555,"",2.17860711610079
1,"primary","rare",2,NA,"LVGP",0.159945035927992,0.114328849337145,1,1.39761891562443,0.120154164120185,-0.0276961906151713,"",1.39761891562443
1,"primary","overall",60,NA,"EzGP",0.461964016566937,0.375190958544169,0.733333333333333,1.15918029415512,0.269717181434601,0.650024526991129,"",2.81246062709485
1,"primary","common",58,NA,"EzGP",0.464194286445727,0.378547765837906,0.724137931034483,1.15352657112117,0.270346998022601,0.666540523579518,"",2.863816570714
1,"primary","rare",2,NA,"EzGP",0.391802050253512,0.277843547025791,1,1.32313826213957,0.251452500382594,0.171060625927862,"",1.32313826213957
1,"primary","overall",60,6,"EIV-GP",0.447275306805922,0.352850182608108,0.9,1.35626321060518,0.255278364999887,0.561294160280028,"",2.66095165563597
1,"primary","common",58,6,"EIV-GP",0.452870458900571,0.358813646605083,0.896551724137931,1.37061220350228,0.259161367687534,0.571451576725891,"",2.72028990525827
1,"primary","rare",2,6,"EIV-GP",0.232374866434238,0.179909726695831,1,0.940142416589229,0.142671287058117,0.266729083349986,"",0.940142416589229
