"Calibration","Method","RMSE","CRPS","NLPD","Coverage95","Width95","IntervalScore95"
"--","Oracle","0.382","0.209","0.501","0.783","1.043","2.163"
"6","EIV-GP","0.447","0.255","0.561","0.900","1.356","2.661"
"--","UC-GP","0.650","0.380","1.025","0.933","2.398","3.264"
"--","LVGP","0.387","0.221","0.460","0.883","1.176","2.153"
"--","EzGP","0.462","0.270","0.650","0.733","1.159","2.812"
