"rep_id","calib_seed","c","source_row","sample_row_id","cruise","in_calib_10","in_calib_25","in_calib_50","selection_rank_within_class","x_temperature","x_salinity"
8,2026081308,1,2656,2,"ECOHAB_3",1,1,1,1,16.7,31.45
8,2026081308,1,4615,4,"ECOHAB_4",0,1,1,2,15.01,31.49
8,2026081308,1,2847,3,"ECOHAB_3",0,0,1,3,13.2,32.2
8,2026081308,2,2762,15,"ECOHAB_3",1,1,1,1,13.34,32.27
8,2026081308,2,2963,19,"ECOHAB_3",1,1,1,2,14.78,32.08
8,2026081308,2,2329,13,"ECOHAB_2",0,1,1,3,14.3,32.01
8,2026081308,2,3091,21,"ECOHAB_3",0,1,1,4,15.33,32.11
8,2026081308,2,6720,25,"ECOHAB_6",0,1,1,5,14.65,32.26
8,2026081308,2,2915,18,"ECOHAB_3",0,0,1,6,15.75,32.05
8,2026081308,2,2078,9,"ECOHAB_2",0,0,1,7,12.4,32.43
8,2026081308,2,2818,17,"ECOHAB_3",0,0,1,8,15.96,32.05
8,2026081308,2,6298,23,"ECOHAB_5",0,0,1,9,13.89,31.94
8,2026081308,2,2319,12,"ECOHAB_2",0,0,1,10,14.7,31.98
8,2026081308,3,6436,38,"ECOHAB_6",1,1,1,1,11.33,33.1
8,2026081308,3,2486,31,"ECOHAB_2",1,1,1,2,13.2,31.98
8,2026081308,3,1608,29,"ECOHAB_2",0,1,1,3,13.3,31.98
8,2026081308,3,1423,28,"ECOHAB_2",0,1,1,4,12.2,32.51
8,2026081308,3,7053,39,"ECOHAB_6",0,0,1,5,13.36,32.24
8,2026081308,3,2586,32,"ECOHAB_3",0,0,1,6,12.81,32.33
8,2026081308,3,3367,35,"ECOHAB_3",0,0,1,7,12.57,32.3
8,2026081308,4,7465,62,"ECOHAB_6",1,1,1,1,12.99,32.2
8,2026081308,4,483,40,"ECOHAB_1",1,1,1,2,10.56,31.43
8,2026081308,4,2487,48,"ECOHAB_2",0,1,1,3,13,32.01
8,2026081308,4,5787,55,"ECOHAB_5",0,1,1,4,12.35,32.6
8,2026081308,4,7242,61,"ECOHAB_6",0,1,1,5,11.5,32.24
8,2026081308,4,2286,46,"ECOHAB_2",0,1,1,6,13.5,31.8
8,2026081308,4,5773,53,"ECOHAB_5",0,0,1,7,10.74,32.78
8,2026081308,4,7168,60,"ECOHAB_6",0,0,1,8,12.64,32.23
8,2026081308,4,4591,51,"ECOHAB_4",0,0,1,9,12.76,31.94
8,2026081308,4,6649,59,"ECOHAB_6",0,0,1,10,12.29,32.18
8,2026081308,4,6599,58,"ECOHAB_6",0,0,1,11,10.14,32.39
8,2026081308,4,1904,45,"ECOHAB_2",0,0,1,12,12.5,31.85
8,2026081308,5,4295,70,"ECOHAB_4",1,1,1,1,11.79,31.68
8,2026081308,5,1697,66,"ECOHAB_2",0,1,1,2,11.9,31.69
8,2026081308,5,6896,78,"ECOHAB_6",0,1,1,3,11.57,32.11
8,2026081308,5,2275,68,"ECOHAB_2",0,0,1,4,11.5,32.4
8,2026081308,5,4673,72,"ECOHAB_4",0,0,1,5,12.79,32.08
8,2026081308,5,4296,71,"ECOHAB_4",0,0,1,6,11.08,31.79
8,2026081308,5,6758,77,"ECOHAB_6",0,0,1,7,11.79,32.02
8,2026081308,6,5646,90,"ECOHAB_5",1,1,1,1,11.17,31.53
8,2026081308,6,322,80,"ECOHAB_1",1,1,1,2,10.27,31.61
8,2026081308,6,7040,99,"ECOHAB_6",0,1,1,3,10.91,32.56
8,2026081308,6,2548,89,"ECOHAB_2",0,1,1,4,10.7,31.38
8,2026081308,6,2540,88,"ECOHAB_2",0,1,1,5,11.2,31.29
8,2026081308,6,6337,95,"ECOHAB_6",0,0,1,6,12.5,30.6
8,2026081308,6,7017,98,"ECOHAB_6",0,0,1,7,10.55,32.4
8,2026081308,6,1663,84,"ECOHAB_2",0,0,1,8,9.75,32.52
8,2026081308,6,6423,96,"ECOHAB_6",0,0,1,9,10.63,33.39
8,2026081308,6,1847,85,"ECOHAB_2",0,0,1,10,9.44,32.53
8,2026081308,6,5967,91,"ECOHAB_5",0,0,1,11,10.65,32
