"rep_id","calib_seed","c","source_row","sample_row_id","cruise","in_calib_10","in_calib_25","in_calib_50","selection_rank_within_class","x_temperature","x_salinity"
6,2026081306,1,4615,4,"ECOHAB_4",1,1,1,1,15.01,31.49
6,2026081306,1,5771,6,"ECOHAB_5",0,1,1,2,13.21,32.69
6,2026081306,1,2847,3,"ECOHAB_3",0,0,1,3,13.2,32.2
6,2026081306,2,2762,15,"ECOHAB_3",1,1,1,1,13.34,32.27
6,2026081306,2,3453,22,"ECOHAB_3",1,1,1,2,13.08,32.35
6,2026081306,2,1413,8,"ECOHAB_2",0,1,1,3,11,32.96
6,2026081306,2,2777,16,"ECOHAB_3",0,1,1,4,15.46,32.08
6,2026081306,2,2305,11,"ECOHAB_2",0,1,1,5,15,31.94
6,2026081306,2,2963,19,"ECOHAB_3",0,0,1,6,14.78,32.08
6,2026081306,2,2329,13,"ECOHAB_2",0,0,1,7,14.3,32.01
6,2026081306,2,2734,14,"ECOHAB_3",0,0,1,8,16.83,32.05
6,2026081306,2,6720,25,"ECOHAB_6",0,0,1,9,14.65,32.26
6,2026081306,2,2915,18,"ECOHAB_3",0,0,1,10,15.75,32.05
6,2026081306,3,3598,36,"ECOHAB_3",1,1,1,1,12.89,32.29
6,2026081306,3,1815,30,"ECOHAB_2",1,1,1,2,13.5,32.04
6,2026081306,3,1608,29,"ECOHAB_2",0,1,1,3,13.3,31.98
6,2026081306,3,7053,39,"ECOHAB_6",0,1,1,4,13.36,32.24
6,2026081306,3,6436,38,"ECOHAB_6",0,0,1,5,11.33,33.1
6,2026081306,3,3367,35,"ECOHAB_3",0,0,1,6,12.57,32.3
6,2026081306,3,700,27,"ECOHAB_1",0,0,1,7,10.98,31.56
6,2026081306,4,2487,48,"ECOHAB_2",1,1,1,1,13,32.01
6,2026081306,4,4592,52,"ECOHAB_4",1,1,1,2,11.25,32.12
6,2026081306,4,2286,46,"ECOHAB_2",0,1,1,3,13.5,31.8
6,2026081306,4,5786,54,"ECOHAB_5",0,1,1,4,12.94,32.49
6,2026081306,4,7168,60,"ECOHAB_6",0,1,1,5,12.64,32.23
6,2026081306,4,6599,58,"ECOHAB_6",0,1,1,6,10.14,32.39
6,2026081306,4,4591,51,"ECOHAB_4",0,0,1,7,12.76,31.94
6,2026081306,4,1904,45,"ECOHAB_2",0,0,1,8,12.5,31.85
6,2026081306,4,6649,59,"ECOHAB_6",0,0,1,9,12.29,32.18
6,2026081306,4,607,41,"ECOHAB_1",0,0,1,10,9.58,32.15
6,2026081306,4,7242,61,"ECOHAB_6",0,0,1,11,11.5,32.24
6,2026081306,4,3441,50,"ECOHAB_3",0,0,1,12,11.36,32.49
6,2026081306,5,6075,75,"ECOHAB_5",1,1,1,1,10.64,32.67
6,2026081306,5,2275,68,"ECOHAB_2",0,1,1,2,11.5,32.4
6,2026081306,5,1697,66,"ECOHAB_2",0,1,1,3,11.9,31.69
6,2026081306,5,1257,65,"ECOHAB_1",0,0,1,4,10.3,31.82
6,2026081306,5,6758,77,"ECOHAB_6",0,0,1,5,11.79,32.02
6,2026081306,5,2428,69,"ECOHAB_2",0,0,1,6,11.5,32.3
6,2026081306,5,6008,74,"ECOHAB_5",0,0,1,7,12,32.67
6,2026081306,6,297,79,"ECOHAB_1",1,1,1,1,9.47,31.91
6,2026081306,6,2420,87,"ECOHAB_2",1,1,1,2,10.7,32.36
6,2026081306,6,6325,94,"ECOHAB_6",0,1,1,3,12.97,30.21
6,2026081306,6,7040,99,"ECOHAB_6",0,1,1,4,10.91,32.56
6,2026081306,6,1847,85,"ECOHAB_2",0,1,1,5,9.44,32.53
6,2026081306,6,5997,92,"ECOHAB_5",0,0,1,6,10.73,32.68
6,2026081306,6,7017,98,"ECOHAB_6",0,0,1,7,10.55,32.4
6,2026081306,6,5646,90,"ECOHAB_5",0,0,1,8,11.17,31.53
6,2026081306,6,6797,97,"ECOHAB_6",0,0,1,9,10.48,31.96
6,2026081306,6,6423,96,"ECOHAB_6",0,0,1,10,10.63,33.39
6,2026081306,6,1663,84,"ECOHAB_2",0,0,1,11,9.75,32.52
