"evaluation_row","pattern","n_latent","mcse","nested_half_difference","rep","scenario"
1,"4_2_3",100,0.0250705769574092,0.0439071827701588,1,"primary"
2,"2_1_1",100,0.0107956797978735,0.0060711647440792,1,"primary"
3,"2_3_2",100,0.0230532208506256,0.0325087490659163,1,"primary"
4,"4_4_4",100,0.0333011383362425,0.0205835684297704,1,"primary"
5,"4_3_3",100,0.0354000952334136,0.0262668691795981,1,"primary"
6,"3_1_1",100,0.0186427587994983,0.0211867196686418,1,"primary"
7,"2_1_1",100,0.0180516044687274,0.00751016844085028,1,"primary"
8,"4_2_4",100,0.0354712500238457,0.0196044777858333,1,"primary"
