"method","n_calib","start","selected","n_starts","optimizer_seed","maxit","initial_log_sigma2","initial_log_rho","initial_log_theta1","initial_log_theta2","initial_log_theta3","initial_log_theta4","final_log_sigma2","final_log_rho","final_log_theta1","final_log_theta2","final_log_theta3","final_log_theta4","convergence","objective","function_evaluations","gradient_evaluations","message","rep","scenario"
"PI-GP",6,1,FALSE,3,1016106,200,-2.99573227355399,1.09861228866811,-0.693147180559945,-0.693147180559945,-0.693147180559945,-0.693147180559945,-1.60233968375955,1.29966739332938,-4.66229865508485,-4.59590265950906,-2.71887133983216,-3.21338640719116,0,89.626908370865,32,32,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1,"primary"
"PI-GP",6,2,FALSE,3,1016106,200,-6.97069424106006,2.9016624435473,1.30914170470704,-6.79159927414617,2.1174208079915,-5.51239005257413,-1.60233321115148,1.29959253781715,-4.66198307861982,-4.59618666330842,-2.71885727171279,-3.21305392119168,0,89.6269083610031,96,96,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1,"primary"
"PI-GP",6,3,TRUE,3,1016106,200,-0.122102250010659,-1.25483659824123,2.95767837505695,2.22070282590899,-2.62400727531361,1.00348761435899,-1.60234913918566,1.29953974347574,-4.66170541637193,-4.59583759824989,-2.71889176351681,-3.21316300235074,0,89.6269083481819,42,42,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1,"primary"
"CC-GP",6,1,TRUE,3,1017106,200,-2.99573227355399,1.09861228866811,-0.693147180559945,-0.693147180559945,-0.693147180559945,-0.693147180559945,-8.05879531715938,4.60517018598809,-9.21034037197618,-5.1230468399511,-3.25100999677818,-5.03410974452066,0,3.51476703190578,56,56,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1,"primary"
"CC-GP",6,2,FALSE,3,1017106,200,0.0204774108588831,3.6160004092824,-8.35137540932454,1.14040200700557,3.88602034202384,1.08941813885568,-8.05878321992848,4.60517018598809,-9.21034037197618,-5.12306273340427,-3.25104396074891,-5.03406851655038,0,3.51476703355945,95,95,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1,"primary"
"CC-GP",6,3,FALSE,3,1017106,200,-3.51100122877334,-0.547933132696174,2.15317302892881,-1.80164727071716,0.21295248378308,-6.87809056789222,-8.05892330450181,4.60517018598809,-9.21034037197618,-5.12292562226707,-3.25093100549127,-5.03397477298213,0,3.51476703620149,79,79,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1,"primary"
