"rep","evaluation_stratum","EIV_CRPS","EIV_IntervalScore95","competitor","Comp_CRPS","Comp_IntervalScore95","CRPS_advantage","IntervalScore95_advantage"
1,"common",0.165336866171433,1.34470097945158,"UC-GP",0.151337627371071,1.0477236951933,-0.0139992388003612,-0.296977284258276
1,"common",0.165336866171433,1.34470097945158,"EzGP",0.30451536971907,2.74630496270329,0.139178503547638,1.40160398325171
1,"rare",0.212438919444433,1.74534400781404,"UC-GP",0.221523165265927,3.25116416593081,0.00908424582149445,1.50582015811677
1,"rare",0.212438919444433,1.74534400781404,"EzGP",0.302893764691869,3.34091394839031,0.0904548452474365,1.59556994057628
1,"unobserved",0.196555489221977,2.48261199011927,"UC-GP",0.2304239134543,3.28428558805632,0.0338684242323228,0.801673597937055
1,"unobserved",0.196555489221977,2.48261199011927,"EzGP",0.255391258987939,1.89320072451556,0.0588357697659622,-0.589411265603704
