"pattern","required","retained","initial_pool_hits","initial_candidates","additional_candidates","total_candidates","empirical_acceptance","rep","scenario"
"4_2_3",100,100,85,5000,2e+05,205000,0.0195268292682927,1,"primary"
"2_1_1",100,100,164,5000,2e+05,205000,0.0322780487804878,1,"primary"
"2_3_2",100,100,123,5000,2e+05,205000,0.0210341463414634,1,"primary"
"4_4_4",100,100,243,5000,2e+05,205000,0.0539414634146341,1,"primary"
"4_3_3",100,100,98,5000,2e+05,205000,0.017819512195122,1,"primary"
"3_1_1",100,100,95,5000,2e+05,205000,0.0181707317073171,1,"primary"
"4_2_4",100,100,133,5000,2e+05,205000,0.0282585365853659,1,"primary"
