"rep","scenario","n_calib","method","target","coordinate","n_units","n_missing","Bias","RMSE","MAE","Coverage95","Width95"
1,"primary",6,"EIV-GP","training_missing_U","u1",114,114,0.0984152105012645,0.653936485182307,0.498465430118141,0.385964912280702,0.519702609915511
1,"primary",6,"EIV-GP","training_missing_U","u2",114,114,0.0332961026107176,0.659967992489489,0.527013747639994,0.394736842105263,0.646846755102524
1,"primary",6,"EIV-GP","prospective_U_given_C","u1",8,NA,-0.108273549111932,0.333382985865078,0.252596802245271,0.875,1.17607130470503
1,"primary",6,"EIV-GP","prospective_U_given_C","u2",8,NA,-0.0723186938068302,0.35514592811336,0.306288990339457,0.875,1.41466782422433
1,"primary",6,"Ordinal model (no Y)","training_missing_U","u1",114,114,0.0315278558767537,0.587356743444381,0.458742665388625,0.903508771929825,2.07310469268147
1,"primary",6,"Ordinal model (no Y)","training_missing_U","u2",114,114,-0.135358208758148,0.626437004863329,0.494060553527856,0.973684210526316,2.73199071129687
1,"primary",6,"Ordinal model (no Y)","prospective_U_given_C","u1",8,NA,-0.181737331156839,0.338487630391594,0.304761846846541,1,1.40816785035164
1,"primary",6,"Ordinal model (no Y)","prospective_U_given_C","u2",8,NA,-0.164938715747048,0.478322661279646,0.387592273834218,1,2.34432505231456
