"cell_id","status","message","elapsed_seconds"
"primary_q2","completed_with_gate_warnings","eiv_mcmc",217.425336122513
"primary_q3","completed_with_gate_warnings","published_competitors; eiv_mcmc; prediction_output_completeness; observable_mean_output_completeness",302.012099981308
