"schema_version","study","scenario","rep","n","n_test","q","d","m","data_seed","calibration_seed","file","bytes","md5","generator_tag","design_fingerprint","cell_id"
"1.1.0","study2","primary",1,120,60,2,2,4,1010001,1010002,"study2_primary_q2_n120_ntest60_m4_rep001.rds",8792,"af01554c1f73f1f9aed58184639a67d5","study2-synthetic-shared-state-v2","ba4a9c7bef41b47977249fb62c8e3b14","primary_q2"
"1.1.0","study2","primary",1,120,60,3,2,4,1010001,1010002,"study2_primary_q3_n120_ntest60_m4_rep001.rds",8904,"00c1a5214913ed7ab0ea0aa4925262ae","study2-synthetic-shared-state-v2","7b800be738a1fbea8bba1ad7ab421e62","primary_q3"
"1.1.0","study2","primary",1,120,60,4,2,4,1010001,1010002,"study2_primary_q4_n120_ntest60_m4_rep001.rds",8988,"3b4e5af6693b90843379a9f530d721ae","study2-synthetic-shared-state-v2","a5a016871dad41d2a0d7907226dfb72b","primary_q4_calibration"
"1.1.0","study2","latent_additive_control",1,120,60,4,2,4,1010001,1010002,"study2_latent_additive_control_q4_n120_ntest60_m4_rep001.rds",8992,"491f3e18915bb48408eb887e9ee24d75","study2-synthetic-shared-state-v2","bcc32fd9d3fae866b419f627b8714cf9","additive_q4"
"1.1.0","study2","high_uncertainty",1,120,60,4,2,4,1010001,1010002,"study2_high_uncertainty_q4_n120_ntest60_m4_rep001.rds",9008,"4af02234b233f4bbb29d674bdb3ec5c3","study2-synthetic-shared-state-v2","d33dcb3aa5a87bd15d23104c1b10cfba","high_uncertainty_q4"
"1.1.0","study2","logistic_misspec",1,120,60,4,2,4,1010001,1010002,"study2_logistic_misspec_q4_n120_ntest60_m4_rep001.rds",9000,"a8cfc7ade18836e54478b79ec33044a8","study2-synthetic-shared-state-v2","f5132bee83ed179deea2ef643d4106d3","logistic_q4"
"1.1.0","study2","primary",1,120,80,6,2,4,1010001,1010002,"study2_primary_q6_n120_ntest80_m4_rep001.rds",9992,"72042cec48536a302f2dc24853623fd1","study2-synthetic-shared-state-v2","d56d52721fc6093ee74a47e076ed4844","primary_q6"
